filepath,scan,frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3698.7885,0.9107719246001861,3696.6968,-565.5094904723387,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3699.787823,0.08701626367826537,3696.6968,-835.4595311613225,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3699.7918000000004,0.39610035799962234,3696.6968,-836.5335584559797,10.0,False,92316
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3700.7951000000003,0.15257751358289415,3704.2251,926.8278592348536,2.0,False,92317
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,c36-NH3,1,0,1,0,0,0,0,36.3182486093605,0.0,0.7314317783606299,0.4802050265645985,3701.7984,0.05290768582700401,3704.2251,655.546233960224,2.0,False,92317
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z36-CO2,1,0,0,0,1,0,0,60.19423516835322,39.80576483164678,0.7228948319708244,0.5702036811081272,3682.7520229999996,0.6408383238475648,3683.238,131.96028322439008,5.0,False,92288
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z36-CO2,1,0,0,0,1,0,0,60.19423516835322,39.80576483164678,0.7228948319708244,0.5702036811081272,3683.755323,1.2437582440730688,3683.7629,2.0568684225584666,1.0,True,92289
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z36-CO2,1,0,0,0,1,0,0,60.19423516835322,39.80576483164678,0.7228948319708244,0.5702036811081272,3683.7592999999997,0.9690750305570188,3683.7629,0.9772625481965036,1.0,True,92289
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z36-CO2,1,0,0,0,1,0,0,60.19423516835322,39.80576483164678,0.7228948319708244,0.5702036811081272,3684.7586229999997,1.322577310611779,3684.8042,12.369059866183067,3.0,True,92292
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z36-CO2,1,0,0,0,1,0,0,60.19423516835322,39.80576483164678,0.7228948319708244,0.5702036811081272,3684.7625999999996,1.8808098915559783,3684.8042,11.289736820622172,3.0,True,92292
