frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.3518609999999,0.251374721186308,1758.3475,-2.4801634397051906,5.28,True,15179
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.35385,0.8414205290860493,1758.3475,-3.6113322696020194,5.28,True,15179
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.355838,1.5934825315879724,1758.3475,-4.741929829943188,5.28,True,15179
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.8535109999998,0.08920271404136089,1758.8433,-5.8054863215946595,3.0,True,15187
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.8555,0.3378257168051072,1758.8433,-6.936328766003466,3.0,True,15187
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1758.8574879999999,0.7411115778364793,1758.8433,-8.06660010641886,3.0,True,15187
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1759.3571499999998,0.11988067324259315,1759.4337,43.51021053356042,7.0,False,15198
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1759.3591379999998,0.2975522243165623,1759.4337,42.380204467521196,7.0,False,15198
z34,2,0,0,0,0,0,0,38.09694982204375,28.347783082155914,0.8632581000073096,0.6039724384665036,1759.860788,0.10558924084657285,1759.8776,9.553028350145079,2.72,True,15205
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2639.2955,5.765038643774663,2638.8608,-164.70304291438686,2.742,False,26183
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2640.2988,8.0,2640.2988,0.0,8.0,True,26185
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2641.3021,6.410745277964946,2641.2859,-6.13333855299104,5.0,True,26187
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2642.3053999999997,3.7570969094179407,2642.29,-5.8282437752169995,1.742,True,26194
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2643.3087,1.7660231132293143,2643.24,-25.99015393104205,1.742,False,26197
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2644.312,0.6991199589150283,2644.1812,-49.46466226372241,3.806,False,26200
c25,1,0,0,0,0,0,0,0.0,100.0,0.8559421214821871,0.3783113382879746,2645.3152999999998,0.240231785270695,2645.113,-76.47481568640339,4.355,False,26204
c5-NH3,1,0,1,0,0,0,0,0.0,100.0,0.852782946041805,0.6407181651656196,516.2197,7.074,516.2197,0.0,7.074,True,467
c5-NH3,1,0,1,0,0,0,0,0.0,100.0,0.852782946041805,0.6407181651656196,517.223,1.8181948500000005,517.2302,13.920494641598772,7.0,True,469
c5-NH3,1,0,1,0,0,0,0,0.0,100.0,0.852782946041805,0.6407181651656196,518.2262999999999,0.6351057705757501,518.2235,-5.403044963135341,1.722,True,472
c5-NH3,1,0,1,0,0,0,0,0.0,100.0,0.852782946041805,0.6407181651656196,519.2296,0.12076349020660146,519.2255,-7.896314077614214,1.727,True,474
b24,1,0,0,0,0,0,0,0.0,0.0,0.8512529433526236,0.7888557607384232,2549.2006,9.008574112789143,2549.1912,-3.687430483075417,10.0,True,25454
b24,1,0,0,0,0,0,0,0.0,0.0,0.8512529433526236,0.7888557607384232,2550.2039,12.13,2550.2039,0.0,12.13,True,25461
b24,1,0,0,0,0,0,0,0.0,0.0,0.8512529433526236,0.7888557607384232,2551.2072,9.494106893120296,2551.2075,0.11759138973583468,1.733,True,25475
b24,1,0,0,0,0,0,0,0.0,0.0,0.8512529433526236,0.7888557607384232,2552.2104999999997,5.446925387687399,2552.1904,-7.8755259410339935,8.0,True,25480
b24,1,0,0,0,0,0,0,0.0,0.0,0.8512529433526236,0.7888557607384232,2553.2138,2.509018383688356,2553.4333,85.97008209815911,3.484,False,25488
